Process,Path Name,Disk Service Time,Size,IO Time
YYExplorer.exe (2888),C:\Windows\SysWOW64\uxtheme.dll,12212.934,32768,12212.934
YYExplorer.exe (2888),C:\$Mft,12150.845,4096,12150.845
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\locales\zh-CN.pak,11994.401,32768,11994.401
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\resource.db-journal,11756.801,12288,11756.801
YYExplorer.exe (2888),C:\$Mft,11550.490,4096,11550.490
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,11290.890,733184,11290.890
YYExplorer.exe (2888),C:\Windows\system32\wow64cpu.dll,11202.890,512,11202.890
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,11059.156,32768,11059.156
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,212.178,32768,10902.712
Dbgview.exe (2660),C:\Windows\SysWOW64\gdi32.dll,5090.801,32768,10811.779
YYExplorer.exe (2888),C:\$Mft,10533.601,4096,10533.601
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\Web Data,3154.311,4096,10278.890
YYExplorer.exe (2888),C:\Windows\SysWOW64\KBDUS.DLL,10234.401,4096,10234.401
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\locales\zh-CN.pak,10137.601,32768,10137.601
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\locales\zh-CN.pak,9994.356,32768,9994.356
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,9900.979,32768,9900.979
YYExplorer.exe (2888),C:\$Mft,9722.534,4096,9722.534
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,211.200,32768,9614.978
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,9393.023,32768,9393.023
YYExplorer.exe (2888),C:\Windows\SysWOW64\user32.dll,9382.756,32768,9382.756
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,186.756,32768,9015.112
YYExplorer.exe (2888),C:\Windows\SysWOW64\msctf.dll,8998.001,8192,8998.001
YYExplorer.exe (2888),C:\$Mft,8954.490,4096,8954.490
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\locales\zh-CN.pak,8636.712,32768,8636.712
YYExplorer.exe (2888),C:\$Mft,8512.534,4096,8512.534
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,8501.778,139264,8501.778
YYExplorer.exe (2888),C:\$Mft,8501.289,4096,8501.289
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,8388.356,36864,8388.356
YYExplorer.exe (2888),C:\Windows\SysWOW64\rpcrt4.dll,8355.601,32768,8355.601
System (4),C:\Windows\Prefetch\ReadyBoot\ReadyBoot.etl,1433.422,262144,8257.334
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,8241.689,20480,8241.689
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,7777.734,32768,7777.734
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,7499.556,32768,7499.556
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,2155.023,131072,7483.912
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\Web Data,6710.979,4096,7129.467
YYExplorer.exe (2888),C:\$Mft,6984.267,4096,6984.267
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,6910.445,32768,6910.445
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,6803.867,32768,6803.867
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\resource.db,6724.667,4096,6724.667
YYExplorer.exe (2888),C:\Windows\SysWOW64\rpcrt4.dll,6576.045,24576,6576.045
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,6247.511,36864,6247.511
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data,6116.978,4096,6116.978
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,6072.000,36864,6072.000
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,6039.245,32768,6039.245
YYExplorer.exe (2888),C:\Windows\SysWOW64\gdi32.dll,5989.867,24576,5989.867
YYExplorer.exe (2888),C:\Windows\SysWOW64\imm32.dll,5911.645,32768,5911.645
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,5839.778,32768,5839.778
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\resource.db,5340.134,24576,5818.756
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,110.978,4096,5803.111
YYExplorer.exe (2888),C:\$Mft,5718.534,4096,5718.534
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0,5706.800,4096,5706.800
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,5557.689,176128,5557.689
